Day,Wind,GHI,Power
1,3.5,1.08,56.3
2,2.5,1.73,94.1
3,1.9,1.69,92.6
4,2.5,1.27,52.2
5,2.4,1.76,96
6,2.1,1.7,92
7,3.6,1.39,74.5
8,4.9,1.74,95.3
9,0.8,1.3,62.6
10,3,0.61,36.3
11,0.9,1.51,72.7
12,2.9,1.32,49.9
13,2.4,1.69,83.4
14,1.2,0.97,21.3
15,3,1.26,51.9
16,2.9,1.84,98.3
17,4.5,1.83,99.2
18,1.9,1.71,89.3
19,2,1.27,59.3
20,3.8,0.35,30.2
